16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2020-03-03 19:11:10"
Cond. Area:,,,7320
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpwh\runs\lrgs-baseline\cz06\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.092427,0,0.0124339,0,0.157419,0.381252,1.36223,0.0680012,0,0,2.07376,0,0,0,0,0.00760305,0,0,0.00143269,0,0,0.00903574,0,0,0,0,0,0,0,0,0,0,0,27.9269,353.349,0,0.000249403,0.004509,
1,1,2,0,0,0.092427,0,0.0124339,0,0.130041,0.362969,1.25338,0.0680012,0,0,1.91925,0,0,0,0,0.00774493,0,0,0.00114615,0,0,0.00889108,0,0,0,0,0,0,0,0,0,0,0,27.9061,353.349,0,0.000249051,0.004509,
1,1,3,0,0,0.092427,0,0.0124339,0,0.102664,0.354542,1.18819,0.0665229,0,0,1.81678,0,0,0,0,0.00817323,0,0,0.000859615,0,0,0.00903285,0,0,0,0,0,0,0,0,0,0,0,27.8226,353.349,0,0.000248744,0.004509,
1,1,4,0,0,0.092427,0,0.0124339,0,0.116353,0.344574,1.18481,0.0665229,0,0,1.81712,0,0,0,0,0.0538752,0,0,0.000859615,0,0,0.0547348,0,0,0,0,0,0,0,0,0,0,0,27.7552,353.349,0,0.000244034,0.004509,
1,1,5,0,0,0.092427,0,0.0124339,0,0.14373,0.327895,1.12527,0.0680012,0,0,1.76976,0,0,0,0,0.073465,0,0,0.000859615,0,0,0.0743246,0,0,0,0,0,0,0,0,0,0,0,27.7995,353.349,0,0.000247897,0.004509,
1,1,6,0,0,0.092427,0,0.0124339,0,0.212173,0.324701,1.21935,0.0665229,0,0,1.9276,0,0,0,0,0.336219,0,0,0.00143269,0,0,0.337652,0,0,0,0,0,0,0,0,0,0,0,27.9183,353.349,0,0.000250017,0.004509,
1,1,7,0.103487,0,0.092427,0,0.0124339,0,0.28746,0.520728,1.36938,0.0650445,0,0,2.45096,0.152712,0,0,0,0.0961055,0,0,0.00286538,0,0,0.251683,0,0,0,0,0,0,0,0,0,0,0,27.9448,353.349,0,0.000250652,0.004509,
1,1,8,0.485545,0,0.092427,0,0.0124339,0,0.280616,1.15333,1.47115,0.0606096,-0.0132996,0,3.54281,0.716498,0,0,0,0.11373,0,0,0.0649113,0,0,0.895139,0,0,0,0,0,0,0,0,0,0,0,27.9285,353.349,0,0.000250171,0.004509,
1,1,9,0.235889,0,0.092427,0,0.0124339,0,0.232706,1.03652,1.38334,0.0532183,-0.0809971,0,2.96553,0.348091,0,0,0,0.0723909,0,0,0.222457,0,0,0.642939,0,0,0,0,0,0,0,0,0,0,0,27.7303,353.349,0,0.000245568,0.004509,
1,1,10,0.116056,0,0.092427,0,0.0124339,0,0.198484,2.2231,1.33015,0.0443485,-0.295445,0,3.72155,0.17126,0,0,0,0.244688,0,0,0.0993683,0,0,0.515316,0,0,0,0,0,0,0,0,0,0,0,26.0708,353.349,0,0.000205897,0.004509,
1,1,11,0.00227513,0,0.092427,0,0.0124339,0,0.184796,2.15679,1.35269,0.0354789,-0.513048,0,3.32384,0.00335731,0,0,0,0.107447,0,0,0.508466,0,0,0.61927,0,0,0,0,0,0,0,0,0,0,0,25.4741,353.349,0,0.000187311,0.004509,
1,1,12,0,0,0.092427,0,0.0124339,0,0.171107,1.78957,1.33126,0.0236526,-0.426208,0,2.99424,0,0,0,0,0.0841195,0,0,0.320482,0,0,0.404601,0,0,0,0,0,0,0,0,0,0,0,25.0642,353.349,0,0.000172385,0.004509,
1,1,13,0,0,0.092427,0,0.0124339,0,0.14373,1.15803,1.31917,0.0177394,-0.592263,0,2.15127,0,0,0,0,0.0581991,0,0,0.0214245,0,0,0.0796236,0,0,0,0,0,0,0,0,0,0,0,25.0726,353.349,0,0.000162633,0.004509,
1,1,14,0,0,0.092427,0,0.0124339,0,0.14373,0.630789,1.35944,0.0162611,-0.529745,0,1.72534,0,0,0,0,0.0113766,0,0,0.061789,0,0,0.0731656,0,0,0,0,0,0,0,0,0,0,0,25.064,353.349,0,0.000167705,0.004509,
