"",001
"Fri 05-Feb-21  12:23:52 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",7.47238,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.537112,4.64792,0.23202,1.28414,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",6.94116,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.443701,4.27654,0.23202,1.21925,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",6.58658,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.35029,4.05412,0.226976,1.18708,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",6.58637,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.396996,4.04258,0.226976,1.1517,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",6.42068,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.490407,3.83942,0.23202,1.09072,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",6.95601,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.723934,4.16041,0.226976,1.07349,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",9.68399,0,0,0,0,0,0.00661819,0,1.30383,0.756867,0,0,0,0.980813,4.67234,0.221932,1.07135,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",10.6686,0,0,0,0,0,0.00661819,0,2.20323,0.756867,0,0,0,0.957461,5.01958,0.2068,1.21901,0,0.276577,2.39027,0.0416388,0,0,0,-2.40941
"MtrElec",1,1,9,"",3.16195,0,0,0,0.0418258,0,0.00661819,0,1.12055,0.756867,0,0,0,0.793992,4.71994,0.181581,1.46995,0,1.00958,0.98054,0.0740246,0,0,0,-7.99352
"MtrElec",1,1,10,"",4.77846,0,0,0,0.0418258,0,0.00661819,0,0.645487,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-9.62456
"MtrElec",1,1,11,"",-7.29597,0,0,0,0.0418258,0,0.00661819,0,0.13477,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-20.962
"MtrElec",1,1,12,"",-5.16169,0,0,0,0.0418258,0,0.00661819,0,0.0871767,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42617,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-17.3657
"MtrElec",1,1,13,"",-15.2997,0,0,0,0.0418258,0,0.00661819,0,0.0231929,0.756867,0,0,0,0.490407,4.501,0.060527,1.45055,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-25.1272
"MtrElec",1,1,14,"",-15.2739,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.63842,0.055483,1.46772,0,0.217118,0.369024,0.0909886,0,0,0,-23.4083
"MtrElec",1,1,15,"",-5.37524,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.86538,0.055483,1.44258,0,0.155865,0.673276,0.0956151,0,0,0,-13.9591
"MtrElec",1,1,16,"",4.63247,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.60717,5.1168,0.060527,1.49942,0,0.284372,0.208307,0.104868,0,0,0,-4.0543
"MtrElec",1,1,17,"",9.36644,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.44088,0,0.0879827,0.881776,0.140338,0,0,0,-0.509816
"MtrElec",1,1,18,"",10.5821,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,1.02752,6.47423,0.191669,1.53843,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",11.8121,0,0,0,0,0,0.00661819,0,0,0.756867,0,0,0,1.96163,6.95786,0.242108,1.68808,0,0,0,0.198941,0,0,0,0
