16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-01-28 20:50:52"
Cond. Area:,,,39372
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat-tier2\cz04\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,3.74089,0,1.85033,0,0.0223809,0,0.906753,1.75731,6.45223,0.256709,0,0,14.9866,0,0,0,0,0.237552,0,0,0.006564,0,0,0.244116,0,0,0,0,0,0,0,0,0,0,0,27.9635,352.219,0,0.000247243,0.004509,
1,1,2,3.86844,0,1.85033,0,0.0223809,0,0.783447,1.67919,5.94853,0.256709,0,0,14.409,0,0,0,0,0.111717,0,0,0.0052512,0,0,0.116968,0,0,0,0,0,0,0,0,0,0,0,27.9477,352.219,0,0.000246894,0.004509,
1,1,3,3.76382,0,1.85033,0,0.0223809,0,0.660138,1.64453,5.64672,0.251128,0,0,13.839,0,0,0,0,0.0837024,0,0,0.0039384,0,0,0.0876408,0,0,0,0,0,0,0,0,0,0,0,27.8911,352.219,0,0.000246589,0.004509,
1,1,4,1.92654,0,1.85033,0,0.0223809,0,0.721791,1.60424,5.63198,0.251128,0,0,12.0084,0,0,0,0,0.0802023,0,0,0.0039384,0,0,0.0841407,0,0,0,0,0,0,0,0,0,0,0,27.7982,352.219,0,0.000241921,0.004509,
1,1,5,1.92009,0,1.85033,0,0.0223809,0,0.8451,1.53913,5.35381,0.256709,0,0,11.7875,0,0,0,0,0.0870579,0,0,0.0039384,0,0,0.0909963,0,0,0,0,0,0,0,0,0,0,0,27.9185,352.219,0,0.00024575,0.004509,
1,1,6,1.51556,0,1.85033,0,0.0223809,0,1.15337,1.53287,5.79361,0.251128,0,0,12.1192,0,0,0,0,0.893672,0,0,0.006564,0,0,0.900236,0,0,0,0,0,0,0,0,0,0,0,27.9595,352.219,0,0.000247852,0.004509,
1,1,7,1.13922,0,1.85033,0,0.0223809,0,1.49247,1.98745,6.4932,0.245547,0,0,13.2306,0,0,0,0,0.464784,0,0,0.013128,0,0,0.477912,0,0,0,0,0,0,0,0,0,0,0,27.9814,352.219,0,0.000248481,0.004509,
1,1,8,5.55307,0,1.85033,0,0.0223809,0,1.64524,3.48198,7.11301,0.228805,0,0,19.8948,0,0,0,0,0.916789,0,0,0.160029,0,0,1.07682,0,0,0,0,0,0,0,0,0,0,0,27.9711,352.219,0,0.000248005,0.004509,
1,1,9,4.82077,0,1.85033,0,0.0223809,0,1.43755,3.72794,6.70668,0.200902,0,0,18.7666,0,0,0,0,1.35973,0,0,0.525414,0,0,1.88514,0,0,0,0,0,0,0,0,0,0,0,27.9559,352.219,0,0.000243441,0.004509,
1,1,10,3.06121,0,1.85033,0,0.0223809,0,1.28342,6.79913,6.45569,0.167419,-0.709121,0,18.9304,0,0,0,0,1.2889,0,0,0.361256,0,0,1.65016,0,0,0,0,0,0,0,0,0,0,0,27.4674,352.219,0,0.000204114,0.004509,
1,1,11,2.51408,0,1.85033,0,0.0223809,0,1.27036,6.77538,6.61084,0.133935,-2.33441,0,16.8429,0,0,0,0,0.875678,0,0,1.09974,0,0,1.97542,0,0,0,0,0,0,0,0,0,0,0,27.2155,352.219,0,0.000185689,0.004509,
1,1,12,3.63883,0,1.85033,0,0.0223809,0,1.20871,4.71132,6.51272,0.0892899,-1.63229,0,16.4013,0,0,0,0,1.02072,0,0,0.681648,0,0,1.70237,0,0,0,0,0,0,0,0,0,0,0,26.8081,352.219,0,0.000170892,0.004509,
1,1,13,4.41066,0,1.85033,0,0.0223809,0,1.2933,4.19767,6.69613,0.0669675,-3.32913,0,15.2083,0,0,0,0,0.690449,0,0,0.0894516,0,0,0.779901,0,0,0,0,0,0,0,0,0,0,0,26.2522,352.219,0,0.000161225,0.004509,
1,1,14,3.43934,0,1.85033,0,0.0223809,0,1.2933,2.42329,6.88324,0.0613869,-4.59698,0,11.3763,0,0,0,0,0.401012,0,0,0.167222,0,0,0.568234,0,0,0,0,0,0,0,0,0,0,0,26.6961,352.219,0,0.000166253,0.004509,
1,1,15,2.06241,0,1.85033,0,0.0223809,0,1.2933,2.53633,7.19194,0.0613869,-8.03836,0,6.97972,0,0,0,0,0.545544,0,0,0.145835,0,0,0.691379,0,0,0,0,0,0,0,0,0,0,0,26.4819,352.219,0,0.000166712,0.004509,
