"",002
"Thu 04-Feb-21  10:36:30 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",38.2642,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,5.8545,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",35.8325,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.56915,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",34.2248,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.43811,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",34.2299,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.28318,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",33.4539,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.2672,0.87589,5.01645,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",35.9401,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.9353,19.7678,0.856849,4.95515,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",42.8142,0,0,0,0,0,0.0763637,0,1.84802,6.31333,0,0,0,5.09231,22.1548,0.837808,4.99418,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",59.1932,0,0,0,0,0,0.0763637,0,10.4814,6.31333,0,0,0,5.61357,24.2696,0.780684,5.56921,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",52.8596,0,0,0,0,0,0.0763637,0,5.61058,6.31333,0,0,0,4.90493,22.8832,0.685479,6.70787,0,2.23681,3.41576,0.338707,0,0,0,-0.313424
"MtrElec",1,1,10,"",59.4316,0,0,0,0.201115,0,0.0763637,0,3.43399,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.768269
"MtrElec",1,1,11,"",59.1683,0,0,0,0.201115,0,0.0763637,0,2.59571,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.482015
"MtrElec",1,1,12,"",51.8484,0,0,0,0,0,0.0763637,0,2.92814,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.189618
"MtrElec",1,1,13,"",49.7355,0,0,0,0.201115,0,0.0763637,0,2.47974,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.14421
"MtrElec",1,1,14,"",44.2278,0,0,0,0.201115,0,0.0763637,0,2.15638,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-0.895397
"MtrElec",1,1,15,"",45.4456,0,0,0,0.201115,0,0.0763637,0,1.78755,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-0.747822
"MtrElec",1,1,16,"",48.4581,0,0,0,0.201115,0,0.0763637,0,2.01624,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-0.188843
"MtrElec",1,1,17,"",57.0354,0,0,0,0,0,0.0763637,0,2.17474,6.31333,0,0,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,0
"MtrElec",1,1,18,"",63.0021,0,0,0,0,0,0.0763637,0,2.00431,6.31333,0,0,0,6.74902,31.933,0.723561,6.98478,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",65.5662,0,0,0,0,0,0.0763637,0,1.77822,6.31333,0,0,0,10.8458,34.0729,0.913972,7.67314,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",74.7079,0,0,0,0,0,0.0763637,0,1.38707,6.31333,0,0,0,14.2339,35.2642,1.14247,7.48804,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",68.6353,0,0,0,0,0,0.0763637,0,1.83562,6.31333,0,0,0,13.8131,36.4881,1.58041,7.24075,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",68.5654,0,0,0,0,0,0.0763637,0,2.07152,6.31333,0,0,0,12.025,36.1513,1.86603,6.94429,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",58.3368,0,0,0,0,0,0.0763637,0,2.56982,6.31333,0,0,0,7.30113,31.2653,1.61849,6.24726,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",47.2256,0,0,0,0,0,0.0763637,0,0.065911,6.31333,0,0,0,4.77676,26.7221,1.12342,6.48515,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",39.2824,0,0,0,0,0,0.0763637,0,0.0789282,6.31333,0,0,0,3.09384,21.9549,0.87589,5.59922,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",39.3711,0,0,0,0,0,0.0763637,0,0.098711,6.31333,0,0,0,2.67312,20.0694,0.87589,5.46821,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",35.7792,0,0,0,0,0,0.0763637,0,0.119485,6.31333,0,0,0,2.25239,19.3206,0.87589,5.23718,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",34.2388,0,0,0,0,0,0.0763637,0,0.144563,6.31333,0,0,0,2.46275,19.2101,0.87589,5.12756,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",33.6656,0,0,0,0,0,0.0763637,0,0.276986,6.31333,0,0,0,2.88348,18.3211,0.87589,4.89014,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",47.4601,0,0,0,0,0,0.0763637,0,10.9294,6.31333,0,0,0,4.44966,19.9323,0.70452,4.95573,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",50.7051,0,0,0,0,0,0.0763637,0,8.02999,6.31333,0,0,0,6.3584,23.3625,0.666438,5.76396,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",62.6457,0,0,0,0,0,0.0763637,0,14.501,6.31333,0,0,0,8.42304,25.9428,0.647397,6.56541,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",62.0176,0,0,0,0,0,0.0763637,0,7.95872,6.31333,0,0,0,11.5157,26.0117,0.628356,6.46395,1.3606,0,1.75036,0.183466,0,0,0,-0.245039
"MtrElec",1,2,10,"",60.5959,0,0,0,0.201115,0,0.0763637,0,6.40035,6.31333,0,0,0,11.9498,25.8051,0.53315,5.9349,1.11435,0.739299,1.8495,0.155241,0,0,0,-0.47653
"MtrElec",1,2,11,"",58.8597,0,0,0,0,0,0.0763637,0,5.9331,6.31333,0,0,0,11.7394,26.0582,0.418904,5.77293,0,0.781173,1.67248,0.148184,0,0,0,-0.0544249
"MtrElec",1,2,12,"",57.2103,0,0,0,0,0,0.0763637,0,4.7325,6.31333,0,0,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-0.331836
"MtrElec",1,2,13,"",53.9037,0,0,0,0.201115,0,0.0763637,0,3.07288,6.31333,0,0,0,11.1083,26.085,0.228493,6.08312,1.41802,0.753625,0,0.246974,0,0,0,-1.68356
"MtrElec",1,2,14,"",61.9301,0,0,0,0.201115,0,0.0763637,0,3.03751,6.31333,0,0,0,11.1083,26.5565,0.209452,5.9226,1.0564,0,7.93763,0.225805,0,0,0,-0.714901
"MtrElec",1,2,15,"",57.7336,0,0,0,0.201115,0,0.0763637,0,3.33216,6.31333,0,0,0,11.1083,27.3386,0.209452,6.07156,0,3.35262,0,0.239918,0,0,0,-0.509863
"MtrElec",1,2,16,"",55.1564,0,0,0,0.201115,0,0.0763637,0,2.90506,6.31333,0,0,0,11.6342,28.0067,0.228493,6.10699,0,0,0,0.366933,0,0,0,-0.682856
"MtrElec",1,2,17,"",59.6836,0,0,0,0.201115,0,0.0763637,0,2.76047,6.31333,0,0,0,12.1601,30.9818,0.361781,6.20171,0,0,0,0.811486,0,0,0,-0.184539
"MtrElec",1,2,18,"",62.4505,0,0,0,0,0,0.0763637,0,3.44001,6.31333,0,0,0,10.3962,33.352,0.70452,6.80619,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",83.7077,0,0,0,0,0,0.0763637,0,3.30655,6.31333,0,0,0,13.8616,35.1059,0.933013,7.43959,15.4012,0,0,1.27015,0,0,0,0
