"",001
"Mon 07-Jun-21   6:22:18 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",19.8666,0,6.99824,2.76351,0.109188,0,0,0,1.67885,0.504578,0,1.09188,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",20.76,0,7.9342,2.99298,0.109188,0,0,0,1.92586,0.504578,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",20.1597,0,7.66721,3.07525,0.113228,0,0,0,1.84974,0.504578,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",20.6249,0,7.97742,3.14442,0.109188,0,0,0,1.93268,0.504578,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",21.9136,0,9.03069,3.23586,0.113228,0,0,0,2.22464,0.504578,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",22.4022,0,8.96609,3.08904,0.282875,0,0,0,2.2086,0.504578,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",21.6355,0,7.46527,2.77463,0.290954,0,0,0,1.80291,0.504578,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",19.4438,0,5.8724,2.3486,0.521189,0,0,0,1.39304,0.504578,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,-2.45127
"MtrElec",1,1,9,"",10.7147,0,4.48334,1.9871,0.505032,0,0,0,1.03854,0.504578,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-8.13241
"MtrElec",1,1,10,"",8.27626,0,2.22367,0.352768,0.456562,0,0,0,0.486358,0.504578,0,1.09188,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-9.79178
"MtrElec",1,1,11,"",-7.582,0,0.0571858,0,0.444444,0,0,0,0.0120503,0.504578,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-21.3262
"MtrElec",1,1,12,"",-5.60203,0,0,0,0.246522,0,0,0,0,0.504578,0,0,0,0.583817,4.54226,0.0807026,1.42894,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-17.6674
"MtrElec",1,1,13,"",-15.82,0,0,0,0.234404,0,0,0,0,0.504578,0,0,0,0.490407,4.501,0.060527,1.45643,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-25.5638
"MtrElec",1,1,14,"",-15.7154,0,0,0,0.25864,0,0,0,0,0.504578,0,0,0,0.490407,4.63842,0.055483,1.47503,0,0.217118,0.369024,0.0909886,0,0,0,-23.8151
"MtrElec",1,1,15,"",-5.60232,0,0,0,0.30711,0,0,0,0,0.504578,0,0,0,0.490407,4.86538,0.055483,1.45165,0,0.155865,0.673276,0.0956151,0,0,0,-14.2017
"MtrElec",1,1,16,"",4.62419,0,0,0,0.355581,0,0,0,0,0.504578,0,0,0,0.60717,5.1168,0.060527,1.50673,0,0.284372,0.208307,0.104868,0,0,0,-4.12474
"MtrElec",1,1,17,"",9.42033,0,0,0,0.31115,0,0,0,0,0.504578,0,0,0,0.723934,5.74202,0.0958344,1.45139,0,0.0879827,0.881776,0.140338,0,0,0,-0.518674
"MtrElec",1,1,18,"",10.547,0,0,0,0.214208,0,0,0,0,0.504578,0,0,0,1.02752,6.47423,0.191669,1.54803,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",11.7415,0,0,0,0.181895,0,0,0,0,0.504578,0,0,0,1.96163,6.95786,0.242108,1.69449,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",15.2888,0,0,0,0.274797,0,0,0,0,0.504578,0,0,0,2.73227,7.23308,0.302635,1.65479,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",13.8638,0,0,0,0.270757,0,0,0,0,0.504578,0,0,0,2.63885,7.49676,0.418645,1.60256,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",14.0537,0,0,0,0.36366,0,0,0,0,0.504578,0,1.09188,0,2.24186,7.42686,0.494303,1.53634,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",12.8397,0,0.967064,0,0.129385,0,0,0,0.209914,0.504578,0,1.09188,0,1.47122,6.63975,0.428733,1.38327,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",13.0932,0,2.22581,0.355011,0.113228,0,0,0,0.497058,0.504578,0,1.09188,0,0.910755,5.66234,0.297591,1.42723,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",14.7199,0,3.69054,1.8154,0.117267,0,0,0,0.845266,0.504578,0,1.09188,0,0.537112,4.63532,0.23202,1.24284,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",16.8053,0,4.25557,2.01864,0.125345,0,0,0,0.977761,0.504578,0,1.09188,0,0.443701,4.22793,0.23202,1.22403,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",17.2245,0,5.26213,2.39033,0.133424,0,0,0,1.22699,0.504578,0,1.09188,0,0.35029,4.06638,0.23202,1.18244,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",16.433,0,5.20502,2.46203,0.113228,0,0,0,1.21213,0.504578,0,1.09188,0,0.396996,4.04224,0.23202,1.16672,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",15.8022,0,4.84774,2.41589,0.113228,0,0,0,1.1209,0.504578,0,1.09188,0,0.490407,3.85168,0.23202,1.12767,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",15.5078,0,4.3535,2.16375,0.129385,0,0,0,1.0005,0.504578,0,1.09188,0,0.723934,4.17266,0.186625,1.15942,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,2,7,"",13.5499,0,3.55231,0.186336,0.157659,0,0,0,0.787123,0.504578,0,1.09188,0,0.980813,4.75662,0.176537,1.32675,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,2,8,"",11.8129,0,3.33595,0,0.367699,0,0,0,0.733499,0.504578,0,1.09188,0,0.957461,5.11646,0.171493,1.47471,0,0,0,0.0385545,0,0,0,-1.97938
"MtrElec",1,2,9,"",12.808,0,3.436,0,0.440405,0,0,0,0.755617,0.504578,0,1.09188,0,0.793992,4.74336,0.166449,1.42486,0,0,0.628229,0.0400967,0,0,0,-1.21747
"MtrElec",1,2,10,"",6.74418,0,2.68229,0,0.266718,0,0,0,0.582646,0.504578,0,0,0,0.677228,4.45277,0.14123,1.3031,0,0.265345,0.253982,0.0339279,0,0,0,-4.41963
"MtrElec",1,2,11,"",4.40424,0,2.28687,0,0.194012,0,0,0,0.491497,0.504578,0,0,0,0.630523,4.50554,0.110966,1.26753,0,0.107274,0,0.0323858,0,0,0,-5.72694
"MtrElec",1,2,12,"",7.41051,0,2.22964,0,0.262679,0,0,0,0.478038,0.504578,0,0,0,0.583817,4.50554,0.0756587,1.28484,0,0,0.882056,0.0447232,0,0,0,-3.44105
"MtrElec",1,2,13,"",8.84709,0,2.64934,0,0.226326,0,0,0,0.573061,0.504578,0,1.09188,0,0.490407,4.51254,0.060527,1.33564,0,0.372554,0,0.0539763,0,0,0,-3.02374
"MtrElec",1,2,14,"",11.4856,0,3.02957,0,0.294993,0,0,0,0.66179,0.504578,0,1.09188,0,0.490407,4.61395,0.055483,1.3004,0,0,1.76392,0.0493497,0,0,0,-2.37067
"MtrElec",1,2,15,"",11.3557,0,2.84463,0,0.230365,0,0,0,0.620272,0.504578,0,1.09188,0,0.490407,4.7811,0.055483,1.3331,0,0.745026,0,0.0524341,0,0,0,-1.39357
"MtrElec",1,2,16,"",12.1109,0,3.25911,0,0.165738,0,0,0,0.712984,0.504578,0,1.09188,0,0.60717,4.9234,0.060527,1.34088,0,0,0,0.0801933,0,0,0,-0.635536
"MtrElec",1,2,17,"",12.8491,0,2.54309,0,0.238444,0,0,0,0.551094,0.504578,0,1.09188,0,0.723934,5.56121,0.0958344,1.36168,0,0,0,0.177351,0,0,0,0
"MtrElec",1,2,18,"",13.7232,0,2.02986,0,0.250561,0,0,0,0.438256,0.504578,0,1.09188,0,1.02752,6.40183,0.186625,1.4944,0,0,0,0.297641,0,0,0,0
"MtrElec",1,2,19,"",17.5681,0,0.839338,0,0.440405,0,0,0,0.179853,0.504578,0,1.09188,0,1.96163,6.96974,0.247152,1.63347,3.4225,0,0,0.277592,0,0,0,0
"MtrElec",1,2,20,"",16.7898,0,0.916094,0,0.36366,0,0,0,0.196381,0.504578,0,1.09188,0,2.73227,7.32996,0.327854,1.65046,1.52552,0,0,0.151134,0,0,0,0
"MtrElec",1,2,21,"",15.5364,0,1.05853,0,0.290954,0,0,0,0.22656,0.504578,0,1.09188,0,2.63885,7.6419,0.458996,1.55933,0,0,0,0.0647715,0,0,0,0
"MtrElec",1,2,22,"",14.008,0,1.1552,0,0.238444,0,0,0,0.246739,0.504578,0,0,0,2.24186,7.58459,0.529611,1.47614,0,0,0,0.0308436,0,0,0,0
"MtrElec",1,2,23,"",13.0855,0,1.84034,0,0.294993,0,0,0,0.395556,0.504578,0,0,0,1.47122,6.72474,0.458996,1.3766,0,0,0,0.0185061,0,0,0,0
"MtrElec",1,2,24,"",12.0116,0,2.53338,0,0.169777,0,0,0,0.548274,0.504578,0,0,0,0.910755,5.76204,0.317767,1.24959,0,0,0,0.0154218,0,0,0,0
"MtrElec",1,3,1,"",10.7071,0,2.74275,0,0.145542,0,0,0,0.593793,0.504578,0,0,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,2,"",10.5938,0,3.10031,0,0.113228,0,0,0,0.674332,0.504578,0,0,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,3,3,"",12.2529,0,3.83019,0,0.125345,0,0,0,0.84312,0.504578,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,4,"",13.0241,0,4.45381,0,0.117267,0,0,0,0.991856,0.504578,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,5,"",16.5535,0,5.54125,2.29567,0.117267,0,0,0,1.29012,0.504578,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,6,"",17.0397,0,5.29667,2.49881,0.15362,0,0,0,1.23508,0.504578,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,7,"",17.303,0,4.08558,1.94219,0.303071,0,0,0,0.939538,0.504578,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,1.38578,0.0154218,0,0,0,0
"MtrElec",1,3,8,"",7.60009,0,2.66584,1.23462,0.404052,0,0,0,0.60466,0.504578,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.585314,1.45432,0.0416388,0,0,0,-8.44168
"MtrElec",1,3,9,"",-6.05012,0,0.930296,0.183561,0.36366,0,0,0,0.204331,0.504578,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,0,0.614262,2.45266,0.0740246,0,0,0,-19.6418
"MtrElec",1,3,10,"",-19.3446,0,0.190997,0,0.347503,0,0,0,0.0405138,0.504578,0,0,0,0.677228,4.53847,0.151317,1.42493,0,1.03593,0.364414,0.0740246,0,0,0,-28.6945
"MtrElec",1,3,11,"",-25.7895,0,0,0,0.440405,0,0,0,0,0.504578,0,0,0,0.630523,4.61538,0.121054,1.4051,0,0.153917,1.32043,0.0709402,0,0,0,-35.0518
"MtrElec",1,3,12,"",-28.251,0,0,0,0.480797,0,0,0,0,0.504578,0,0,0,0.583817,4.54226,0.0807026,1.4328,0,0.557711,1.39571,0.0848198,0,0,0,-37.9142
"MtrElec",1,3,13,"",-29.1591,0,0,0,0.282875,0,0,0,0,0.504578,0,0,0,0.490407,4.501,0.060527,1.46254,0,0.589505,0.448594,0.0971573,0,0,0,-37.5963
"MtrElec",1,3,14,"",-25.3417,0,0,0,0.290954,0,0,0,0,0.504578,0,0,0,0.490407,4.63842,0.055483,1.48491,0,0.189473,0.88202,0.0909886,0,0,0,-33.969
"MtrElec",1,3,15,"",-18.5454,0,0,0,0.246522,0,0,0,0,0.504578,0,0,0,0.490407,4.86538,0.055483,1.46373,0,0.372539,0,0.0956151,0,0,0,-26.6397
"MtrElec",1,3,16,"",-7.06726,0,0,0,0.319228,0,0,0,0,0.504578,0,0,0,0.60717,5.1168,0.060527,1.51732,0,0,1.292,0.104868,0,0,0,-16.5898
"MtrElec",1,3,17,"",5.03264,0,0,0,0.391934,0,0,0,0,0.504578,0,0,0,0.723934,5.74202,0.0958344,1.47059,0,0.545702,0.472187,0.140338,0,0,0,-5.05448
"MtrElec",1,3,18,"",10.4903,0,0,0,0.31115,0,0,0,0,0.504578,0,0,0,1.02752,6.47423,0.191669,1.56736,0,0.199438,0,0.214363,0,0,0,0
"MtrElec",1,3,19,"",12.9331,0,0,0,0.270757,0,0,0,0,0.504578,0,1.09188,0,1.96163,6.95786,0.242108,1.70535,0,0,0,0.198941,0,0,0,0
"MtrElec",1,3,20,"",14.1867,0,0,0,0.185934,0,0,0,0,0.504578,0,1.09188,0,2.73227,7.23308,0.302635,1.66337,0,0,0.361887,0.111037,0,0,0,0
"MtrElec",1,3,21,"",14.7121,0,0,0,0.230365,0,0,0,0,0.504578,0,1.09188,0,2.63885,7.49676,0.418645,1.60878,0,0.15285,0.520064,0.0493497,0,0,0,0
"MtrElec",1,3,22,"",13.8973,0,0.0756172,0.0359461,0.226326,0,0,0,0.0167175,0.504578,0,1.09188,0,2.24186,7.42686,0.494303,1.54199,0,0.219659,0,0.0215905,0,0,0,0
"MtrElec",1,3,23,"",13.864,0,1.30055,0.607689,0.121306,0,0,0,0.293601,0.504578,0,1.09188,0,1.47122,6.63975,0.428733,1.3908,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,3,24,"",13.5396,0,2.04466,0.946465,0.169777,0,0,0,0.471545,0.504578,0,1.09188,0,0.910755,5.66234,0.297591,1.43229,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,1,"",12.9305,0,2.64853,1.20673,0.129385,0,0,0,0.622185,0.504578,0,1.09188,0,0.537112,4.64792,0.23202,1.30243,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,2,"",14.0199,0,3.6147,1.64208,0.117267,0,0,0,0.845573,0.504578,0,1.09188,0,0.443701,4.27654,0.23202,1.24538,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,4,3,"",15.663,0,4.85064,2.10737,0.109188,0,0,0,1.14149,0.504578,0,1.09188,0,0.35029,4.05412,0.226976,1.22186,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,4,4,"",17.4678,0,6.00132,2.46693,0.109188,0,0,0,1.42918,0.504578,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
