"",002
"Thu 09-Apr-20  10:30:49 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.519,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,22.015,0.87589,5.88089,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.1037,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.2964,0.87589,5.61201,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",35.5083,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.2666,0.856849,5.49322,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",35.5218,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2163,0.856849,5.34671,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",34.7652,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.88348,18.2672,0.87589,5.09938,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",37.2632,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.9353,19.7678,0.856849,5.0499,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",42.756,0,0,0,0,0,0.0763637,0,0.452471,6.31333,0,1.22837,0,5.09231,22.1548,0.837808,5.10317,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",74.6561,0,15.2849,0,0,0,0.0763637,0,9.37723,6.31333,0,1.22837,0,5.61357,24.2696,0.780684,5.62301,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",66.7862,0,12.1147,0,0,0,0.0763637,0,5.8932,6.31333,0,1.22837,0,4.90493,22.8832,0.685479,6.71892,0,2.23681,3.41576,0.338707,0,0,0,-0.0235272
"MtrElec",1,1,10,"",68.7887,0,6.84713,0,0,0,0.0763637,0,4.1837,6.31333,0,1.22837,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.0351776
"MtrElec",1,1,11,"",66.8795,0,5.60766,0,0,0,0.0763637,0,3.30369,6.31333,0,1.22837,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.113679
"MtrElec",1,1,12,"",58.3862,0,5.12046,0,0,0,0.0763637,0,3.11095,6.31333,0,1.22837,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.183494
"MtrElec",1,1,13,"",56.0164,0,4.19571,0,0,0,0.0763637,0,2.68509,6.31333,0,1.22837,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-0.291676
"MtrElec",1,1,14,"",47.2717,0,2.84432,0,0,0,0.0763637,0,2.18032,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-0.518669
"MtrElec",1,1,15,"",48.5651,0,2.61729,0,0,0,0.0763637,0,2.05927,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-0.316251
"MtrElec",1,1,16,"",50.4589,0,2.41366,0,0,0,0.0763637,0,1.81631,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-0.20072
"MtrElec",1,1,17,"",58.4558,0,2.21967,0,0,0,0.0763637,0,1.40512,6.31333,0,0,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,-0.0296318
"MtrElec",1,1,18,"",64.3776,0,2.28189,0,0,0,0.0763637,0,1.09798,6.31333,0,0,0,6.74902,31.933,0.723561,6.98478,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",68.88,0,2.65344,0,0,0,0.0763637,0,1.20842,6.31333,0,1.22837,0,10.8458,34.0729,0.913972,7.67489,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",77.0348,0,1.63454,0,0,0,0.0763637,0,0.846663,6.31333,0,1.22837,0,14.2339,35.2642,1.14247,7.49237,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",70.7804,0,1.72715,0,0,0,0.0763637,0,1.02106,6.31333,0,1.22837,0,13.8131,36.4881,1.58041,7.24491,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",71.103,0,1.98173,0,0,0,0.0763637,0,1.39731,6.31333,0,1.22837,0,12.025,36.1513,1.86603,6.946,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",62.9193,0,3.68343,0,0,0,0.0763637,0,2.24047,6.31333,0,1.22837,0,7.30113,31.2653,1.61849,6.24729,0,1.11764,1.76398,0.0635076,0,0,0,0
