16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2021-01-28 21:25:36"
Cond. Area:,,,39372
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\lr\runs\lrlc-flat-tier2\cz12\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,3.64314,0,1.85033,0,0.0223809,0,0.906753,1.75381,6.45223,0.256709,0,0,14.8854,0,0,0,0,0.250508,0,0,0.006564,0,0,0.257072,0,0,0,0,0,0,0,0,0,0,0,27.968,352.219,0,0.000247243,0.004509,
1,1,2,3.72144,0,1.85033,0,0.0223809,0,0.783447,1.67614,5.94853,0.256709,0,0,14.259,0,0,0,0,0.13003,0,0,0.0052512,0,0,0.135281,0,0,0,0,0,0,0,0,0,0,0,27.9522,352.219,0,0.000246894,0.004509,
1,1,3,3.82431,0,1.85033,0,0.0223809,0,0.660138,1.64227,5.64672,0.251128,0,0,13.8973,0,0,0,0,0.103482,0,0,0.0039384,0,0,0.10742,0,0,0,0,0,0,0,0,0,0,0,27.8956,352.219,0,0.000246589,0.004509,
1,1,4,4.26851,0,1.85033,0,0.0223809,0,0.721791,1.60167,5.63198,0.251128,0,0,14.3478,0,0,0,0,0.100181,0,0,0.0039384,0,0,0.104119,0,0,0,0,0,0,0,0,0,0,0,27.8027,352.219,0,0.000241921,0.004509,
1,1,5,4.61786,0,1.85033,0,0.0223809,0,0.8451,1.53682,5.35381,0.256709,0,0,14.483,0,0,0,0,0.106799,0,0,0.0039384,0,0,0.110737,0,0,0,0,0,0,0,0,0,0,0,27.923,352.219,0,0.00024575,0.004509,
1,1,6,4.43393,0,1.85033,0,0.0223809,0,1.15337,1.53212,5.79361,0.251128,0,0,15.0369,0,0,0,0,0.881014,0,0,0.006564,0,0,0.887578,0,0,0,0,0,0,0,0,0,0,0,27.964,352.219,0,0.000247852,0.004509,
1,1,7,3.97591,0,1.85033,0,0.0223809,0,1.49247,1.98713,6.4932,0.245547,0,0,16.067,0,0,0,0,0.466375,0,0,0.013128,0,0,0.479503,0,0,0,0,0,0,0,0,0,0,0,27.9859,352.219,0,0.000248481,0.004509,
1,1,8,9.44771,0,1.85033,0,0.0223809,0,1.64524,3.4812,7.11301,0.228805,0,0,23.7887,0,0,0,0,0.894349,0,0,0.160029,0,0,1.05438,0,0,0,0,0,0,0,0,0,0,0,27.9756,352.219,0,0.000248005,0.004509,
1,1,9,9.83734,0,1.85033,0,0.0223809,0,1.43755,3.72741,6.70668,0.200902,-0.00689543,0,23.7757,0,0,0,0,1.31759,0,0,0.525414,0,0,1.843,0,0,0,0,0,0,0,0,0,0,0,27.9604,352.219,0,0.000243441,0.004509,
1,1,10,7.95778,0,1.85033,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-0.01031,0,24.5256,0,0,0,0,1.2464,0,0,0.361256,0,0,1.60766,0,0,0,0,0,0,0,0,0,0,0,27.4718,352.219,0,0.000204114,0.004509,
1,1,11,6.67939,0,1.85033,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-0.0333174,0,23.3089,0,0,0,0,0.854084,0,0,1.09974,0,0,1.95382,0,0,0,0,0,0,0,0,0,0,0,27.22,352.219,0,0.000185689,0.004509,
1,1,12,6.88158,0,1.85033,0,0.0223809,0,1.20871,4.70988,6.51272,0.0892899,-0.053779,0,21.2211,0,0,0,0,0.996774,0,0,0.681648,0,0,1.67842,0,0,0,0,0,0,0,0,0,0,0,26.8126,352.219,0,0.000170892,0.004509,
1,1,13,6.34871,0,1.85033,0,0.0223809,0,1.2933,4.19718,6.69613,0.0669675,-0.0854853,0,20.3895,0,0,0,0,0.680592,0,0,0.0894516,0,0,0.770044,0,0,0,0,0,0,0,0,0,0,0,26.2567,352.219,0,0.000161225,0.004509,
1,1,14,3.72364,0,1.85033,0,0.0223809,0,1.2933,2.42329,6.88324,0.0613869,-0.152013,0,16.1055,0,0,0,0,0.405678,0,0,0.167222,0,0,0.5729,0,0,0,0,0,0,0,0,0,0,0,26.7006,352.219,0,0.000166253,0.004509,
1,1,15,3.5789,0,1.85033,0,0.0223809,0,1.2933,2.53633,7.19194,0.0613869,-0.0926879,0,16.4419,0,0,0,0,0.542645,0,0,0.145835,0,0,0.68848,0,0,0,0,0,0,0,0,0,0,0,26.4864,352.219,0,0.000166712,0.004509,
