16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-10-21 11:57:55"
Cond. Area:,,,39372
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte-lr\runs\lrlc-baseline-all\cz14\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.360015,0,1.85033,0,0.0223809,0,0.906753,1.72822,6.45223,0.256709,0,0,11.5766,0,0,0,0,0.243713,0,0,0.006564,0,0,0.250277,0,0,0,0,0,0,0,0,0,0,0,27.3864,353.349,0,0.000249403,0.004509,
1,1,2,0.360015,0,1.85033,0,0.0223809,0,0.783447,1.64556,5.94853,0.256709,0,0,10.867,0,0,0,0,0.112651,0,0,0.0052512,0,0,0.117902,0,0,0,0,0,0,0,0,0,0,0,27.3657,353.349,0,0.000249051,0.004509,
1,1,3,0.360015,0,1.85033,0,0.0223809,0,0.660138,1.61254,5.64672,0.251128,0,0,10.4032,0,0,0,0,0.0839511,0,0,0.0039384,0,0,0.0878895,0,0,0,0,0,0,0,0,0,0,0,27.2822,353.349,0,0.000248744,0.004509,
1,1,4,0.360015,0,1.85033,0,0.0223809,0,0.721791,1.57227,5.63198,0.251128,0,0,10.4099,0,0,0,0,0.0803945,0,0,0.0039384,0,0,0.0843329,0,0,0,0,0,0,0,0,0,0,0,27.2148,353.349,0,0.000244034,0.004509,
1,1,5,0.360015,0,1.85033,0,0.0223809,0,0.8451,1.50041,5.35381,0.256709,0,0,10.1888,0,0,0,0,0.087749,0,0,0.0039384,0,0,0.0916874,0,0,0,0,0,0,0,0,0,0,0,27.2591,353.349,0,0.000247897,0.004509,
1,1,6,0.360015,0,1.85033,0,0.0223809,0,1.15337,1.48881,5.79361,0.251128,0,0,10.9196,0,0,0,0,0.930775,0,0,0.006564,0,0,0.937339,0,0,0,0,0,0,0,0,0,0,0,27.3779,353.349,0,0.000250017,0.004509,
1,1,7,0.55315,0,1.85033,0,0.0223809,0,1.49247,1.93002,6.4932,0.245547,0,0,12.5871,0.285344,0,0,0,0.479304,0,0,0.013128,0,0,0.777776,0,0,0,0,0,0,0,0,0,0,0,27.4044,353.349,0,0.000250652,0.004509,
1,1,8,7.74267,0,1.85033,0,0.0223809,0,1.64524,3.43237,7.11301,0.228805,-0.977362,0,21.0574,2.32334,0,0,0,0.945584,0,0,0.160029,0,0,3.42895,0,0,0,0,0,0,0,0,0,0,0,27.3881,353.349,0,0.000250171,0.004509,
1,1,9,4.63163,0,1.85033,0,0.0223809,0,1.43755,3.72529,6.70668,0.200902,-2.43894,0,16.1358,0.885951,0,0,0,1.41036,0,0,0.525414,0,0,2.82173,0,0,0,0,0,0,0,0,0,0,0,27.1899,353.349,0,0.000245568,0.004509,
1,1,10,2.42536,0,1.85033,0,0.0771034,0,1.28342,6.79894,6.45569,0.167419,-11.4093,0,7.649,0.515195,0,0,0,1.29974,0,0,0.361256,0,0,2.17619,0,0,0,0,0,0,0,0,0,0,0,25.5303,353.349,0,0.000205897,0.004509,
1,1,11,1.85784,0,1.85033,0,0.0771034,0,1.27036,6.77494,6.61084,0.133935,-11.3335,0,7.24189,0.299326,0,0,0,0.859318,0,0,1.09974,0,0,2.25838,0,0,0,0,0,0,0,0,0,0,0,24.9337,353.349,0,0.000187311,0.004509,
1,1,12,1.70965,0,1.85033,0,0.0771034,0,1.20871,4.70988,6.51272,0.0892899,-13.18,0,2.97764,0.382166,0,0,0,0.981357,0,0,0.681648,0,0,2.04517,0,0,0,0,0,0,0,0,0,0,0,24.5238,353.349,0,0.000172385,0.004509,
1,1,13,1.35111,0,1.85033,0,0.0771034,0,1.2933,4.19718,6.69613,0.0669675,-21.5937,0,-6.06161,0.369595,0,0,0,0.643199,0,0,0.0894516,0,0,1.10225,0,0,0,0,0,0,0,0,0,0,0,24.5322,353.349,0,0.000162633,0.004509,
1,1,14,0.936011,0,1.85033,0,0.0771034,0,1.2933,2.42329,6.88324,0.0613869,-19.0812,0,-5.55653,0.398658,0,0,0,0.351241,0,0,0.167222,0,0,0.917121,0,0,0,0,0,0,0,0,0,0,0,24.5236,353.349,0,0.000167705,0.004509,
