"",002
"Tue 16-Feb-21   6:02:03 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",38.3355,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,5.92579,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",35.911,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.6477,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",34.3124,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.52567,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",34.3152,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.36849,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",33.5534,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.2672,0.87589,5.11598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",36.0452,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.9353,19.7678,0.856849,5.06025,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",42.139,0,0,0,0,0,0.0763637,0,1.0544,6.31333,0,0,0,5.09231,22.1548,0.837808,5.11255,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",55.4239,0,0,0,0,0,0.0763637,0,6.64708,6.31333,0,0,0,5.61357,24.2696,0.780684,5.65532,0,0.602657,5.29585,0.190523,0,0,0,-0.0211096
"MtrElec",1,1,9,"",50.6266,0,0,0,0,0,0.0763637,0,3.2002,6.31333,0,0,0,4.90493,22.8832,0.685479,6.72032,0,2.23681,3.41576,0.338707,0,0,0,-0.148529
"MtrElec",1,1,10,"",57.1661,0,0,0,0.128419,0,0.0763637,0,1.2796,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.806676
"MtrElec",1,1,11,"",56.4025,0,0,0,0.128419,0,0.0763637,0,0.517251,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38687,4.39771,5.02777,6.97994,0.324594,0,0,0,-1.09743
"MtrElec",1,1,12,"",48.0119,0,0,0,0.128419,0,0.0763637,0,0.325512,6.31333,0,0,0,4.12411,22.2214,0.304657,6.50541,6.16207,2.94812,0.0772521,0.388102,0,0,0,-1.56277
"MtrElec",1,1,13,"",47.5824,0,0,0,0.128419,0,0.0763637,0,0.299305,6.31333,0,0,0,4.41274,22.8472,0.228493,6.62716,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.06908
"MtrElec",1,1,14,"",42.59,0,0,0,0.128419,0,0.0763637,0,0.325251,6.31333,0,0,0,4.41274,23.4856,0.209452,6.70918,0,0.434236,0.738049,0.416328,0,0,0,-0.658975
"MtrElec",1,1,15,"",44.506,0,0,0,0,0,0.0763637,0,0.426173,6.31333,0,0,0,4.41274,24.5389,0.209452,6.58979,0,0.31173,1.34655,0.437497,0,0,0,-0.156616
"MtrElec",1,1,16,"",46.7088,0,0,0,0,0,0.0763637,0,0.40266,6.31333,0,0,0,4.93865,25.7089,0.228493,6.83285,0,0.568744,1.30337,0.479835,0,0,0,-0.144364
"MtrElec",1,1,17,"",55.2639,0,0,0,0,0,0.0763637,0,0.38847,6.31333,0,0,0,5.46456,28.6239,0.361781,6.56265,0,0.550504,6.29167,0.642132,0,0,0,-0.0114315
"MtrElec",1,1,18,"",61.4263,0,0,0,0,0,0.0763637,0,0.400048,6.31333,0,0,0,6.74902,31.933,0.723561,7.01321,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",64.2658,0,0,0,0,0,0.0763637,0,0.449848,6.31333,0,0,0,10.8458,34.0729,0.913972,7.70104,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",73.6532,0,0,0,0,0,0.0763637,0,0.293578,6.31333,0,0,0,14.2339,35.2642,1.14247,7.52685,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",67.2108,0,0,0,0,0,0.0763637,0,0.362586,6.31333,0,0,0,13.8131,36.4881,1.58041,7.28929,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",67.0063,0,0,0,0,0,0.0763637,0,0.463572,6.31333,0,0,0,12.025,36.1513,1.86603,6.9931,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",56.6777,0,0,0,0,0,0.0763637,0,0.846558,6.31333,0,0,0,7.30113,31.2653,1.61849,6.31142,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",47.1934,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,4.77676,26.7221,1.12342,6.51891,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",39.2836,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,21.9549,0.87589,5.67928,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",39.3706,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.0694,0.87589,5.56648,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",35.7772,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.3206,0.87589,5.35463,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",34.2322,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2101,0.87589,5.26552,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",33.5641,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.3211,0.87589,5.06566,0,0,0,0.0282256,0,0,0,0
