"",001
"Tue 16-Feb-21   5:35:47 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",19.8336,0,6.88121,2.72259,0,0,0.00661819,0,1.65399,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",20.7016,0,7.79921,2.94842,0,0,0.00661819,0,1.89721,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",20.0998,0,7.53629,3.02861,0,0,0.00661819,0,1.82168,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",20.5598,0,7.84002,3.09648,0,0,0.00661819,0,1.90322,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",21.8216,0,8.8745,3.18757,0,0,0.00661819,0,2.19146,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",22.1316,0,8.80325,3.04022,0,0,0.00661819,0,2.1737,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",21.372,0,7.31661,2.72449,0,0,0.00661819,0,1.77035,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",19.0535,0,5.7647,2.30963,0,0,0.00661819,0,1.36989,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,-2.40941
"MtrElec",1,1,9,"",10.5782,0,4.43794,1.97032,0.0418258,0,0.00661819,0,1.02964,0.756867,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-7.99352
"MtrElec",1,1,10,"",8.28534,0,2.22312,0.350852,0.0418258,0,0.00661819,0,0.486512,0.756867,0,1.09188,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-9.62456
"MtrElec",1,1,11,"",-7.34927,0,0.0672934,0,0.0418258,0,0.00661819,0,0.0141772,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-20.962
