"",001
"Thu 04-Feb-21  10:29:22 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",15.2864,0,5.38596,0.117938,0,0,0.00661819,0,1.20677,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29563,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",15.6573,0,5.9699,0.284457,0,0,0.00661819,0,1.34625,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",15.006,0,5.95475,0,0,0,0.00661819,0,1.33807,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",15.0051,0,5.9502,0,0,0,0.00661819,0,1.33475,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",14.8404,0,5.94116,0,0,0,0.00661819,0,1.33113,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",15.2323,0,5.81635,0,0,0,0.00661819,0,1.30146,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",16.2375,0,5.45839,0,0,0,0.00661819,0,1.21853,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",17.7289,0,4.67326,0,0,0,0.00661819,0,1.03687,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",9.98944,0,3.83887,0,0.0418258,0,0.00661819,0,0.841951,0.756867,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-5.82518
"MtrElec",1,1,10,"",-10.45,0,1.47525,0,0.0418258,0,0.00661819,0,0.314819,0.756867,0,1.09188,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-27.0895
"MtrElec",1,1,11,"",-20.1448,0,0.0169664,0,0.0418258,0,0.00661819,0,0.00357372,0.756867,0,1.09188,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-34.7885
"MtrElec",1,1,12,"",-5.20282,0,0.0390133,0,0.0418258,0,0.00661819,0,0.00812905,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42878,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-17.3694
"MtrElec",1,1,13,"",-17.4061,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.501,0.060527,1.45415,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-27.214
"MtrElec",1,1,14,"",-10.9045,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.63842,0.055483,1.4711,0,0.217118,0.369024,0.0909886,0,0,0,-19.0424
"MtrElec",1,1,15,"",-16.4847,0,0,0,0.0418258,0,0.00661819,0,0,0.756867,0,0,0,0.490407,4.86538,0.055483,1.44475,0,0.155865,0.673276,0.0956151,0,0,0,-25.0708
