"",002
"Thu 19-Mar-20   6:48:38 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",47.85,0,0,0,0,0,0.0763637,0,4.87332,6.31333,0,1.22837,0,6.59537,17.3574,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,2,"",46.363,0,0,0,0,0,0.0763637,0,5.44913,6.31333,0,1.22837,0,5.56568,16.4351,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,1,3,"",45.4352,0,0,0,0,0,0.0763637,0,6.06754,6.31333,0,1.22837,0,4.53599,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,1,4,"",46.4747,0,0,0,0,0,0.0763637,0,6.59225,6.31333,0,1.22837,0,5.05084,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,1,5,"",47.0048,0,0,0,0,0,0.0763637,0,7.12578,6.31333,0,1.22837,0,6.08053,15.0517,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,6,"",51.4954,0,0,0,0,0,0.0763637,0,6.9759,6.31333,0,1.22837,0,8.65475,16.8963,0,9.35536,1.57136,0,0.423711,0,0,0,0,0
"MtrElec",1,1,7,"",56.8833,0,0.101571,0.0393817,0,0,0.0763637,0,6.29177,6.31333,0,1.22837,0,11.4864,19.6632,0,9.35536,1.83326,0,0.494329,0,0,0,0,0
"MtrElec",1,1,8,"",108.606,0,23.1823,20.5646,0,0,0.0763637,0,12.4995,6.31333,0,1.22837,0,11.8554,21.0922,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,1,9,"",77.7945,0,16.8133,5.15113,0,0,0.0763637,0,8.83335,6.31333,0,1.22837,0,10.0811,17.8918,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,10,"",53.6178,0,7.71219,0,0,0,0.0763637,0,4.00717,6.31333,0,0,0,8.79399,15.586,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
