"",001
"Tue 03-Mar-20   7:25:39 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",7.06158,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.537112,4.64792,0.23202,1.28733,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",6.53533,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.443701,4.27654,0.23202,1.22742,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",6.1875,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.35029,4.05412,0.226976,1.202,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",14.4825,0,0,0,8.29169,0,0.0341214,0,0,0.315361,0,0,0,0.396996,4.04258,0.226976,1.17018,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",6.03159,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.490407,3.83942,0.23202,1.11563,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",8.41621,0,0,0,1.84401,0,0.0341214,0,0,0.315361,0,0,0,0.723934,4.16041,0.226976,1.10369,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",15.5133,0,0,0,7.38222,0,0.0341214,0,0.12317,0.315361,0,0,0,0.980813,4.67234,0.221932,1.11315,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",19.3278,0,0,0,7.41736,0,0.0341214,0,1.43879,0.315361,0,0,0,0.957461,5.01958,0.2068,1.22984,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",17.5875,0,0,0,7.37958,0,0.0341214,0,0.665372,0.315361,0,0,0,0.793992,4.71994,0.181581,1.4741,0,1.00958,0.98054,0.0740246,0,0,0,-0.0406564
"MtrElec",1,1,10,"",21.1188,0,0,0,7.41829,0,0.0341214,0,0.502773,0.315361,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-0.103978
"MtrElec",1,1,11,"",20.5044,0,0,0,7.3236,0,0.0341214,0,0.272368,0.315361,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-0.16698
"MtrElec",1,1,12,"",19.362,0,0,0,7.57814,0,0.0341214,0,0.321355,0.315361,0,0,0,0.583817,4.54226,0.0807026,1.42598,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-0.198315
"MtrElec",1,1,13,"",15.0803,0,0,0,5.515,0,0.0341214,0,0.413653,0.315361,0,0,0,0.490407,4.501,0.060527,1.44963,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-0.195878
"MtrElec",1,1,14,"",7.88842,0,0,0,0,0,0.0341214,0,0.383675,0.315361,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0.217118,0.369024,0.0909886,0,0,0,-0.172801
"MtrElec",1,1,15,"",8.32627,0,0,0,0,0,0.0341214,0,0.335929,0.315361,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0.155865,0.673276,0.0956151,0,0,0,-0.135105
"MtrElec",1,1,16,"",8.29125,0,0,0,0,0,0.0341214,0,0.272184,0.315361,0,0,0,0.60717,5.1168,0.060527,1.49567,0,0.284372,0.208307,0.104868,0,0,0,-0.208132
"MtrElec",1,1,17,"",9.68639,0,0,0,0,0,0.0341214,0,0.24732,0.315361,0,0,0,0.723934,5.74202,0.0958344,1.43518,0,0.0879827,0.881776,0.140338,0,0,0,-0.0174742
"MtrElec",1,1,18,"",10.3743,0,0,0,0,0,0.0341214,0,0.21096,0.315361,0,0,0,1.02752,6.47423,0.191669,1.53361,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",11.5854,0,0,0,0,0,0.0341214,0,0.190591,0.315361,0,0,0,1.96163,6.95786,0.242108,1.68475,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",14.9935,0,0,0,0,0,0.0341214,0,0.145245,0.315361,0,0,0,2.73227,7.23308,0.302635,1.64411,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",15.9394,0,0,0,2.35428,0,0.0341214,0,0.159027,0.315361,0,0,0,2.63885,7.49676,0.418645,1.59077,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",20.0797,0,0,0,7.45753,0,0.0341214,0,0.189477,0.315361,0,0,0,2.24186,7.42686,0.494303,1.52597,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",18.2858,0,0,0,7.69655,0,0.0341214,0,0.313479,0.315361,0,0,0,1.47122,6.63975,0.428733,1.37267,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",14.1905,0,0,0,5.53869,0,0.0341214,0,0,0.315361,0,0,0,0.910755,5.66234,0.297591,1.42393,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",6.9931,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.537112,4.63532,0.23202,1.23145,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",15.9063,0,0,0,7.74679,0,0.0341214,0,0,0.315361,0,0,0,0.443701,4.22793,0.23202,1.20253,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",6.93362,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.35029,4.06638,0.23202,1.15137,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",6.15626,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.396996,4.04224,0.23202,1.12935,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",6.00836,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.490407,3.85168,0.23202,1.0786,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",6.54512,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.723934,4.17266,0.186625,1.09082,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,2,7,"",8.35485,0,0,0,0,0,0.0341214,0,0.796459,0.315361,0,0,0,0.980813,4.75662,0.176537,1.26564,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,2,8,"",17.9644,0,0,0,7.75795,0,0.0341214,0,2.13156,0.315361,0,0,0,0.957461,5.11646,0.171493,1.4414,0,0,0,0.0385545,0,0,0,0
"MtrElec",1,2,9,"",9.26245,0,0,0,0,0,0.0341214,0,1.16444,0.315361,0,0,0,0.793992,4.74336,0.166449,1.41818,0,0,0.628229,0.0400967,0,0,0,-0.0417757
"MtrElec",1,2,10,"",8.52742,0,0,0,0.263191,0,0.0341214,0,0.919284,0.315361,0,0,0,0.677228,4.45277,0.14123,1.3031,0,0.265345,0.253982,0.0339279,0,0,0,-0.132106
"MtrElec",1,2,11,"",15.2928,0,0,0,7.8721,0,0.0341214,0,0.789378,0.315361,0,0,0,0.630523,4.50554,0.110966,1.26753,0,0.107274,0,0.0323858,0,0,0,-0.372381
"MtrElec",1,2,12,"",15.853,0,0,0,7.65125,0,0.0341214,0,0.676886,0.315361,0,0,0,0.583817,4.50554,0.0756587,1.28484,0,0,0.882056,0.0447232,0,0,0,-0.201289
"MtrElec",1,2,13,"",12.1204,0,0,0,5.19611,0,0.0341214,0,0.510332,0.315361,0,0,0,0.490407,4.51254,0.060527,1.33564,0,0.372554,0,0.0539763,0,0,0,-0.761117
"MtrElec",1,2,14,"",8.49529,0,0,0,0,0,0.0341214,0,0.436635,0.315361,0,0,0,0.490407,4.61395,0.055483,1.3004,0,0,1.76392,0.0493497,0,0,0,-0.56433
"MtrElec",1,2,15,"",7.76193,0,0,0,0,0,0.0341214,0,0.387649,0.315361,0,0,0,0.490407,4.7811,0.055483,1.3331,0,0.745026,0,0.0524341,0,0,0,-0.43275
"MtrElec",1,2,16,"",6.89392,0,0,0,0,0,0.0341214,0,0.343722,0.315361,0,0,0,0.60717,4.9234,0.060527,1.34088,0,0,0,0.0801933,0,0,0,-0.811448
"MtrElec",1,2,17,"",8.43924,0,0,0,0,0,0.0341214,0,0.328657,0.315361,0,0,0,0.723934,5.56121,0.0958344,1.36168,0,0,0,0.177351,0,0,0,-0.158898
"MtrElec",1,2,18,"",17.5616,0,0,0,7.4914,0,0.0341214,0,0.312662,0.315361,0,0,0,1.02752,6.40183,0.186625,1.4944,0,0,0,0.297641,0,0,0,0
"MtrElec",1,2,19,"",15.0591,0,0,0,0,0,0.0341214,0,0.197542,0.315361,0,0,0,1.96163,6.96974,0.247152,1.63347,3.4225,0,0,0.277592,0,0,0,0
"MtrElec",1,2,20,"",14.2953,0,0,0,0,0,0.0341214,0,0.228633,0.315361,0,0,0,2.73227,7.32996,0.327854,1.65046,1.52552,0,0,0.151134,0,0,0,0
"MtrElec",1,2,21,"",14.3314,0,0,0,1.3158,0,0.0341214,0,0.302308,0.315361,0,0,0,2.63885,7.6419,0.458996,1.55933,0,0,0,0.0647715,0,0,0,0
"MtrElec",1,2,22,"",20.4925,0,0,0,7.91717,0,0.0341214,0,0.362801,0.315361,0,0,0,2.24186,7.58459,0.529611,1.47614,0,0,0,0.0308436,0,0,0,0
"MtrElec",1,2,23,"",18.9757,0,0,0,8.11419,0,0.0341214,0,0.461926,0.315361,0,0,0,1.47122,6.72474,0.458996,1.3766,0,0,0,0.0185061,0,0,0,0
"MtrElec",1,2,24,"",13.994,0,0,0,5.38894,0,0.0341214,0,0,0.315361,0,0,0,0.910755,5.76204,0.317767,1.24959,0,0,0,0.0154218,0,0,0,0
"MtrElec",1,3,1,"",7.05837,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.537112,4.64792,0.23202,1.28413,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,2,"",6.52832,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.443701,4.27654,0.23202,1.2204,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,3,3,"",14.1378,0,0,0,7.96166,0,0.0341214,0,0,0.315361,0,0,0,0.35029,4.05412,0.226976,1.19059,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,4,"",6.25024,0,0,0,0.0756144,0,0.0341214,0,0,0.315361,0,0,0,0.396996,4.04258,0.226976,1.15396,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,5,"",6.00854,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.490407,3.83942,0.23202,1.09258,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,6,"",6.66581,0,0,0,0,0,0.0341214,0,0.122999,0.315361,0,0,0,0.723934,4.16041,0.226976,1.0743,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,7,"",10.1296,0,0,0,0,0,0.0341214,0,1.43165,0.315361,0,0,0,0.980813,4.67234,0.221932,1.07216,0,0,1.38578,0.0154218,0,0,0,0
"MtrElec",1,3,8,"",12.254,0,0,0,0,0,0.0341214,0,2.46418,0.315361,0,0,0,0.957461,5.01958,0.2068,1.21927,0,0.585314,1.45432,0.0416388,0,0,0,-0.0440898
"MtrElec",1,3,9,"",15.1002,0,0,0,3.78303,0,0.0341214,0,1.44172,0.315361,0,0,0,0.793992,4.71994,0.181581,1.46895,0,0.614262,2.45266,0.0740246,0,0,0,-0.779455
"MtrElec",1,3,10,"",16.9451,0,0,0,8.72121,0,0.0341214,0,0.99997,0.315361,0,0,0,0.677228,4.53847,0.151317,1.42455,0,1.03593,0.364414,0.0740246,0,0,0,-1.39151
"MtrElec",1,3,11,"",15.6767,0,0,0,8.10226,0,0.0341214,0,0.642074,0.315361,0,0,0,0.630523,4.61538,0.121054,1.40216,0,0.153917,1.32043,0.0709402,0,0,0,-1.73149
"MtrElec",1,3,12,"",15.4256,0,0,0,7.87449,0,0.0341214,0,0.373911,0.315361,0,0,0,0.583817,4.54226,0.0807026,1.42598,0,0.557711,1.39571,0.0848198,0,0,0,-1.84332
"MtrElec",1,3,13,"",14.2773,0,0,0,7.92244,0,0.0341214,0,0.273312,0.315361,0,0,0,0.490407,4.501,0.060527,1.44963,0,0.589505,0.448594,0.0971573,0,0,0,-1.90475
"MtrElec",1,3,14,"",9.73241,0,0,0,2.88259,0,0.0341214,0,0.262438,0.315361,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0.189473,0.88202,0.0909886,0,0,0,-1.57551
"MtrElec",1,3,15,"",6.33367,0,0,0,0,0,0.0341214,0,0.197333,0.315361,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0.372539,0,0.0956151,0,0,0,-1.53251
"MtrElec",1,3,16,"",8.15016,0,0,0,0,0,0.0341214,0,0.143953,0.315361,0,0,0,0.60717,5.1168,0.060527,1.49567,0,0,1.292,0.104868,0,0,0,-1.02031
"MtrElec",1,3,17,"",9.75897,0,0,0,0,0,0.0341214,0,0.254288,0.315361,0,0,0,0.723934,5.74202,0.0958344,1.43519,0,0.545702,0.472187,0.140338,0,0,0,0
"MtrElec",1,3,18,"",10.3036,0,0,0,0,0,0.0341214,0,0.31331,0.315361,0,0,0,1.02752,6.47423,0.191669,1.53361,0,0.199438,0,0.214363,0,0,0,0
"MtrElec",1,3,19,"",15.8097,0,0,0,4.09085,0,0.0341214,0,0.324063,0.315361,0,0,0,1.96163,6.95786,0.242108,1.68475,0,0,0,0.198941,0,0,0,0
"MtrElec",1,3,20,"",21.2586,0,0,0,8.19294,0,0.0341214,0,0.331195,0.315361,0,0,0,2.73227,7.23308,0.302635,1.64411,0,0,0.361887,0.111037,0,0,0,0
"MtrElec",1,3,21,"",22.6581,0,0,0,9.01036,0,0.0341214,0,0.431886,0.315361,0,0,0,2.63885,7.49676,0.418645,1.58981,0,0.15285,0.520064,0.0493497,0,0,0,0
"MtrElec",1,3,22,"",17.124,0,0,0,4.27588,0,0.0341214,0,0.56968,0.315361,0,0,0,2.24186,7.42686,0.494303,1.52472,0,0.219659,0,0.0215905,0,0,0,0
"MtrElec",1,3,23,"",10.9834,0,0,0,0,0,0.0341214,0,0.708694,0.315361,0,0,0,1.47122,6.63975,0.428733,1.37168,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,3,24,"",8.65179,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.910755,5.66234,0.297591,1.42391,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,1,"",7.05309,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.537112,4.64792,0.23202,1.27885,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,2,"",14.6983,0,0,0,8.17993,0,0.0341214,0,0,0.315361,0,0,0,0.443701,4.27654,0.23202,1.21041,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,4,3,"",6.16299,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.35029,4.05412,0.226976,1.17749,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,4,4,"",6.24105,0,0,0,0,0,0.0341214,0,0.0812839,0.315361,0,0,0,0.396996,4.04258,0.226976,1.13911,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,4,5,"",6.20521,0,0,0,0,0,0.0341214,0,0.213967,0.315361,0,0,0,0.490407,3.83942,0.23202,1.07528,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,4,6,"",6.78614,0,0,0,0,0,0.0341214,0,0.256089,0.315361,0,0,0,0.723934,4.16041,0.226976,1.06154,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,7,"",9.6222,0,0,0,0,0,0.0341214,0,1.81545,0.315361,0,0,0,0.980813,4.67234,0.221932,1.06297,0,0,0.503799,0.0154218,0,0,0,0
"MtrElec",1,4,8,"",15.0137,0,0,0,2.43725,0,0.0341214,0,2.67,0.315361,0,0,0,0.957461,5.01958,0.2068,1.21667,1.15916,0.21279,0.768643,0.0416388,0,0,0,-0.0257555
"MtrElec",1,4,9,"",20.8417,0,0,0,10.0002,0,0.0341214,0,1.79027,0.315361,0,0,0,0.793992,4.71994,0.181581,1.46605,1.31639,0.324652,0.491988,0.0740246,0,0,0,-0.666792
"MtrElec",1,4,10,"",16.3851,0,0,0,9.15684,0,0.0341214,0,1.25778,0.315361,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.207801,0,0.0740246,0,0,0,-1.45238
"MtrElec",1,4,11,"",14.4916,0,0,0,8.32963,0,0.0341214,0,0.809967,0.315361,0,0,0,0.630523,4.61538,0.121054,1.40216,0,0,0,0.0709402,0,0,0,-1.8375
"MtrElec",1,4,12,"",14.8157,0,0,0,8.10179,0,0.0341214,0,0.488331,0.315361,0,0,0,0.583817,4.54226,0.0807026,1.42598,1.15919,0,0,0.0848198,0,0,0,-2.00067
"MtrElec",1,4,13,"",14.6054,0,0,0,7.91726,0,0.0341214,0,0.359309,0.315361,0,0,0,0.490407,4.501,0.060527,1.44963,1.31657,0,0,0.0971573,0,0,0,-1.93596
"MtrElec",1,4,14,"",14.0144,0,0,0,8.23966,0,0.0341214,0,0.33744,0.315361,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0,0,0.0909886,0,0,0,-1.65408
"MtrElec",1,4,15,"",15.4591,0,0,0,8.15351,0,0.0341214,0,0.251257,0.315361,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0,1.16947,0.0956151,0,0,0,-1.41147
"MtrElec",1,4,16,"",7.99613,0,0,0,0,0,0.0341214,0,0.165487,0.315361,0,0,0,0.60717,5.1168,0.060527,1.49567,0,0.493951,0.5946,0.104868,0,0,0,-0.992427
"MtrElec",1,4,17,"",9.04798,0,0,0,0,0,0.0341214,0,0.309995,0.315361,0,0,0,0.723934,5.74202,0.0958344,1.43524,0,0.251141,0,0.140338,0,0,0,0
"MtrElec",1,4,18,"",10.1071,0,0,0,0,0,0.0341214,0,0.31625,0.315361,0,0,0,1.02752,6.47423,0.191669,1.53361,0,0,0,0.214363,0,0,0,0
"MtrElec",1,4,19,"",11.7073,0,0,0,0,0,0.0341214,0,0.31252,0.315361,0,0,0,1.96163,6.95786,0.242108,1.68475,0,0,0,0.198941,0,0,0,0
"MtrElec",1,4,20,"",12.7045,0,0,0,0,0,0.0341214,0,0.331879,0.315361,0,0,0,2.73227,7.23308,0.302635,1.64411,0,0,0,0.111037,0,0,0,0
"MtrElec",1,4,21,"",14.2738,0,0,0,0,0,0.0341214,0,0.330099,0.315361,0,0,0,2.63885,7.49676,0.418645,1.58981,1.27111,0,0.129719,0.0493497,0,0,0,0
"MtrElec",1,4,22,"",20.2388,0,0,0,5.82113,0,0.0341214,0,0.34834,0.315361,0,0,0,2.24186,7.42686,0.494303,1.52472,1.20354,0.0547896,0.752216,0.0215905,0,0,0,0
"MtrElec",1,4,23,"",20.0995,0,0,0,8.19135,0,0.0341214,0,0.433602,0.315361,0,0,0,1.47122,6.63975,0.428733,1.37168,0,0.317714,0.882053,0.0138796,0,0,0,0
"MtrElec",1,4,24,"",17.7995,0,0,0,8.7752,0,0.0341214,0,0,0.315361,0,0,0,0.910755,5.66234,0.297591,1.42391,0,0.372553,0,0.00771089,0,0,0,0
"MtrElec",1,5,1,"",11.6067,0,0,0,4.61686,0,0.0341214,0,0,0.315361,0,0,0,0.537112,4.63532,0.23202,1.22824,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,5,2,"",8.15367,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.443701,4.22793,0.23202,1.19673,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,5,3,"",6.92913,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.35029,4.06638,0.23202,1.14688,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,5,4,"",6.15063,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.396996,4.04224,0.23202,1.12372,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,5,5,"",14.2441,0,0,0,8.24363,0,0.0341214,0,0,0.315361,0,0,0,0.490407,3.85168,0.23202,1.07076,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,5,6,"",6.57284,0,0,0,0,0,0.0341214,0,0.0379205,0.315361,0,0,0,0.723934,4.17266,0.186625,1.08062,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,5,7,"",8.8248,0,0,0,0,0,0.0341214,0,1.27609,0.315361,0,0,0,0.980813,4.75662,0.176537,1.25596,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,5,8,"",10.4895,0,0,0,0,0,0.0341214,0,2.45764,0.315361,0,0,0,0.957461,5.11646,0.171493,1.44021,0,0,0,0.0385545,0,0,0,-0.0418396
"MtrElec",1,5,9,"",9.83065,0,0,0,1.02003,0,0.0341214,0,1.39316,0.315361,0,0,0,0.793992,4.74336,0.166449,1.41566,0,0,0.628229,0.0400967,0,0,0,-0.719807
"MtrElec",1,5,10,"",15.2325,0,0,0,8.07574,0,0.0341214,0,0.908931,0.315361,0,0,0,0.677228,4.45277,0.14123,1.3031,0,0.265345,0.253982,0.0339279,0,0,0,-1.22922
"MtrElec",1,5,11,"",13.724,0,0,0,7.6562,0,0.0341214,0,0.604686,0.315361,0,0,0,0.630523,4.50554,0.110966,1.26753,0,0.107274,0,0.0323858,0,0,0,-1.54061
"MtrElec",1,5,12,"",9.12142,0,0,0,3.55487,0,0.0341214,0,0.422739,0.315361,0,0,0,0.583817,4.50554,0.0756587,1.28484,0,0,0,0.0447232,0,0,0,-1.70025
"MtrElec",1,5,13,"",5.19176,0,0,0,0,0,0.0341214,0,0.247462,0.315361,0,0,0,0.490407,4.51254,0.060527,1.33564,0,0,0,0.0539763,0,0,0,-1.85827
"MtrElec",1,5,14,"",6.08256,0,0,0,0,0,0.0341214,0,0.105932,0.315361,0,0,0,0.490407,4.61395,0.055483,1.3004,0,0,0.881958,0.0493497,0,0,0,-1.7644
"MtrElec",1,5,15,"",6.19469,0,0,0,0,0,0.0341214,0,0.0630978,0.315361,0,0,0,0.490407,4.7811,0.055483,1.33311,0,0.372513,0,0.0524341,0,0,0,-1.30293
"MtrElec",1,5,16,"",14.6352,0,0,0,7.99767,0,0.0341214,0,0.102131,0.315361,0,0,0,0.60717,4.9234,0.060527,1.3411,0,0,0,0.0801933,0,0,0,-0.826517
"MtrElec",1,5,17,"",8.43716,0,0,0,0,0,0.0341214,0,0.166959,0.315361,0,0,0,0.723934,5.56121,0.0958344,1.36239,0,0,0,0.177351,0,0,0,0
"MtrElec",1,5,18,"",9.93302,0,0,0,0,0,0.0341214,0,0.175387,0.315361,0,0,0,1.02752,6.40183,0.186625,1.49453,0,0,0,0.297641,0,0,0,0
"MtrElec",1,5,19,"",13.3257,0,0,0,0,0,0.0341214,0,0.17536,0.315361,0,0,0,1.96163,6.96974,0.247152,1.63348,1.71125,0,0,0.277592,0,0,0,0
"MtrElec",1,5,20,"",13.551,0,0,0,0,0,0.0341214,0,0.24707,0.315361,0,0,0,2.73227,7.32996,0.327854,1.65046,0.762762,0,0,0.151134,0,0,0,0
"MtrElec",1,5,21,"",13.0445,0,0,0,0,0,0.0341214,0,0.331129,0.315361,0,0,0,2.63885,7.6419,0.458996,1.55933,0,0,0,0.0647715,0,0,0,0
"MtrElec",1,5,22,"",20.7647,0,0,0,1.21819,0,0.0341214,0,0.225398,0.315361,0,0,0,2.24186,7.58459,0.529611,1.47614,4.95711,0,2.15151,0.0308436,0,0,0,0
"MtrElec",1,5,23,"",22.6842,0,0,0,8.09825,0,0.0341214,0,0.315473,0.315361,0,0,0,1.47122,6.72474,0.458996,1.37679,2.46723,0.908732,0.494762,0.0185061,0,0,0,0
"MtrElec",1,5,24,"",16.7054,0,0,0,7.89138,0,0.0341214,0,0,0.315361,0,0,0,0.910755,5.76204,0.317767,1.24959,0,0.208973,0,0.0154218,0,0,0,0
"MtrElec",1,6,1,"",16.0821,0,0,0,8.20873,0,0.0341214,0,0,0.315361,0,0,0,0.537112,4.63532,0.23202,1.22966,0,0,0.882062,0.00771089,0,0,0,0
"MtrElec",1,6,2,"",8.01703,0,0,0,1.18327,0,0.0341214,0,0,0.315361,0,0,0,0.443701,4.22793,0.23202,1.2019,0,0.372557,0,0.00616872,0,0,0,0
"MtrElec",1,6,3,"",6.15708,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.35029,4.06638,0.23202,1.15275,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,6,4,"",14.4052,0,0,0,8.24748,0,0.0341214,0,0,0.315361,0,0,0,0.396996,4.04224,0.23202,1.13077,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,6,5,"",6.00978,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.490407,3.85168,0.23202,1.08002,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,6,6,"",6.54881,0,0,0,0,0,0.0341214,0,0,0.315361,0,0,0,0.723934,4.17266,0.186625,1.09452,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,6,7,"",8.23178,0,0,0,0,0,0.0341214,0,0.670309,0.315361,0,0,0,0.980813,4.75662,0.176537,1.26872,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,6,8,"",10.9745,0,0,0,0,0,0.0341214,0,2.01737,0.315361,0,0,0,0.957461,5.11646,0.171493,1.4417,0,0,0.881945,0.0385545,0,0,0,0
"MtrElec",1,6,9,"",14.0197,0,0,0,5.12939,0,0.0341214,0,1.08849,0.315361,0,0,0,0.793992,4.74336,0.166449,1.41877,0,0.372507,0,0.0400967,0,0,0,-0.0827955
"MtrElec",1,6,10,"",15.8415,0,0,0,7.86788,0,0.0341214,0,0.897331,0.315361,0,0,0,0.677228,4.45277,0.14123,1.3031,0,0,0.476651,0.0339279,0,0,0,-0.358137
"MtrElec",1,6,11,"",16.3169,0,0,0,7.70993,0,0.0341214,0,0.686268,0.315361,0,0,0,0.630523,4.50554,0.110966,1.26753,0,0.201323,1.28735,0.0323858,0,0,0,-0.464388
"MtrElec",1,6,12,"",15.3244,0,0,0,7.8984,0,0.0341214,0,0.573087,0.315361,0,0,0,0.583817,4.50554,0.0756587,1.28484,0,0.543737,0,0.0447232,0,0,0,-0.534859
"MtrElec",1,6,13,"",9.38704,0,0,0,3.13304,0,0.0341214,0,0.51102,0.315361,0,0,0,0.490407,4.51254,0.060527,1.33564,0,0,0,0.0539763,0,0,0,-1.0596
"MtrElec",1,6,14,"",7.4847,0,0,0,0,0,0.0341214,0,0.519258,0.315361,0,0,0,0.490407,4.61395,0.055483,1.3004,0,0,0.400627,0.0493497,0,0,0,-0.294252
"MtrElec",1,6,15,"",7.83513,0,0,0,0,0,0.0341214,0,0.467546,0.315361,0,0,0,0.490407,4.7811,0.055483,1.3331,0,0.169213,0.481249,0.0524341,0,0,0,-0.344877
"MtrElec",1,6,16,"",7.84215,0,0,0,0,0,0.0341214,0,0.443333,0.315361,0,0,0,0.60717,4.9234,0.060527,1.34088,0,0.203265,0,0.0801933,0,0,0,-0.166101
"MtrElec",1,6,17,"",8.68754,0,0,0,0,0,0.0341214,0,0.418056,0.315361,0,0,0,0.723934,5.56121,0.0958344,1.36168,0,0,0,0.177351,0,0,0,0
"MtrElec",1,6,18,"",10.1036,0,0,0,0,0,0.0341214,0,0.346068,0.315361,0,0,0,1.02752,6.40183,0.186625,1.4944,0,0,0,0.297641,0,0,0,0
"MtrElec",1,6,19,"",11.7152,0,0,0,0,0,0.0341214,0,0.276139,0.315361,0,0,0,1.96163,6.96974,0.247152,1.63347,0,0,0,0.277592,0,0,0,0
"MtrElec",1,6,20,"",12.7886,0,0,0,0,0,0.0341214,0,0.24749,0.315361,0,0,0,2.73227,7.32996,0.327854,1.65046,0,0,0,0.151134,0,0,0,0
