"",002
"Thu 19-Mar-20   6:59:36 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",38.3047,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,5.89497,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",35.8767,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.61338,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",34.2619,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.47517,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",34.2668,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.32003,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",33.4958,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.2672,0.87589,5.05833,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",36.0446,0,0,0,0,0,0.0763637,0,0.0712719,6.31333,0,0,0,3.9353,19.7678,0.856849,4.98844,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",43.5451,0,0,0,0,0,0.0763637,0,2.57086,6.31333,0,0,0,5.09231,22.1548,0.837808,5.00219,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",58.6765,0,0,0,0,0,0.0763637,0,10.1202,6.31333,0,0,0,5.61357,24.2696,0.780684,5.57376,0,0.602657,5.29585,0.190523,0,0,0,-0.159973
"MtrElec",1,1,9,"",52.5105,0,0,0,0.192601,0,0.0763637,0,5.29337,6.31333,0,0,0,4.90493,22.8832,0.685479,6.70065,0,2.23681,3.41576,0.338707,0,0,0,-0.530729
"MtrElec",1,1,10,"",58.9976,0,0,0,0.192601,0,0.0763637,0,2.87928,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.639022
"MtrElec",1,1,11,"",56.7163,0,0,0,0.192601,0,0.0763637,0,1.06197,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-1.39177
"MtrElec",1,1,12,"",48.7529,0,0,0,0.192601,0,0.0763637,0,0.601696,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49627,6.16207,2.94812,0.0772521,0.388102,0,0,0,-1.15299
"MtrElec",1,1,13,"",46.973,0,0,0,0.192601,0,0.0763637,0,0.244648,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60747,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.66832
"MtrElec",1,1,14,"",41.4921,0,0,0,0.192601,0,0.0763637,0,0.0782217,6.31333,0,0,0,4.41274,23.4856,0.209452,6.68938,0,0.434236,0.738049,0.416328,0,0,0,-1.5542
"MtrElec",1,1,15,"",43.5448,0,0,0,0.192601,0,0.0763637,0,0.0514415,6.31333,0,0,0,4.41274,24.5389,0.209452,6.58098,0,0.31173,1.34655,0.437497,0,0,0,-0.926816
"MtrElec",1,1,16,"",46.2379,0,0,0,0,0,0.0763637,0,0.0497161,6.31333,0,0,0,4.93865,25.7089,0.228493,6.83971,0,0.568744,1.30337,0.479835,0,0,0,-0.269185
