"",002
"Thu 19-Mar-20   6:22:51 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",38.2643,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,5.8546,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",35.8324,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.56909,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",34.2238,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.43705,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",34.2283,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.28158,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",33.4512,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.2672,0.87589,5.01379,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",35.9368,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.9353,19.7678,0.856849,4.95189,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",42.9183,0,0,0,0,0,0.0763637,0,1.95576,6.31333,0,0,0,5.09231,22.1548,0.837808,4.99048,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",59.2657,0,0,0,0,0,0.0763637,0,10.5543,6.31333,0,0,0,5.61357,24.2696,0.780684,5.56879,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",52.9081,0,0,0,0,0,0.0763637,0,5.65911,6.31333,0,0,0,4.90493,22.8832,0.685479,6.70789,0,2.23681,3.41576,0.338707,0,0,0,-0.313424
"MtrElec",1,1,10,"",59.4619,0,0,0,0.201115,0,0.0763637,0,3.46435,6.31333,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.768269
"MtrElec",1,1,11,"",59.1922,0,0,0,0.201115,0,0.0763637,0,2.61957,6.31333,0,0,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.482015
"MtrElec",1,1,12,"",51.8727,0,0,0,0,0,0.0763637,0,2.95242,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.189618
"MtrElec",1,1,13,"",49.7558,0,0,0,0.201115,0,0.0763637,0,2.49996,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.14421
"MtrElec",1,1,14,"",44.2415,0,0,0,0.201115,0,0.0763637,0,2.17007,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-0.895397
"MtrElec",1,1,15,"",45.4578,0,0,0,0.201115,0,0.0763637,0,1.79972,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-0.747822
"MtrElec",1,1,16,"",48.465,0,0,0,0.201115,0,0.0763637,0,2.0231,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-0.188843
